crop_code,cdl_name,production_name,final_name,kcal_kg,red,green,blue,rollup
crop_75,Almonds,ALMONDS-ALL CLASSES,Almonds,5790,0,168,132,
crop_68,Apples,APPLES-ALL CLASSES,Apples,468,185,0,80,
crop_223,Apricots,APRICOTS-ALL CLASSES,Apricots,446,255,145,171,
crop_207,Asparagus,ASPARAGUS-ALL CLASSES,Asparagus,106,255,102,102,
crop_215,Avocados,AVOCADOS-ALL CLASSES,Avocados,1184,102,153,77,
crop_21,Barley,BARLEY-ALL CLASSES,Barley,3530,226,0,127,
crop_42,Dry Beans,"BEANS-DRY EDIBLE, INCL CHICKPEAS",Dry Beans,3506,168,0,0,crop_42; crop_51
crop_242,Blueberries,BLUEBERRIES-TAME,Blueberries,542,0,0,153,
crop_214,Broccoli,BROCCOLI-ALL CLASSES,Broccoli,207,255,102,102,
crop_243,Cabbage,CABBAGE-ALL CLASSES,Cabbage,200,255,102,102,
crop_31,Canola,CANOLA-ALL CLASSES,Canola,6420,209,255,0,
crop_206,Carrots,CARROTS-ALL CLASSES,Carrots,365,255,102,102,
crop_244,Cauliflower,CAULIFLOWER-ALL CLASSES,Cauliflower,98,255,102,102,
crop_245,Celery,CELERY-ALL CLASSES,Celery,138,255,102,102,
crop_66,Cherries,CHERRIES-SWEET,Cherries,514,255,0,255,
crop_1,Corn,CORN-ALL CLASSES-GRAIN,Corn,3650,255,212,0,
crop_250,Cranberries,CRANBERRIES-ALL CLASSES,Cranberries,451,255,102,102,
crop_50,Cucumbers,CUCUMBERS-ALL CLASSES,Cucumbers,146,255,102,102,
crop_248,Eggplants,EGGPLANT-ALL CLASSES,Eggplants,203,255,102,102,
crop_32,Flaxseed,FLAXSEED-ALL CLASSES,Flaxseed,5340,128,153,255,
crop_208,Garlic,GARLIC-ALL CLASSES,Garlic,1296,255,102,102,
crop_69,Grapes,GRAPES-ALL CLASSES,Grapes,557,112,68,137,
crop_52,Lentils,LENTILS-ALL CLASSES,Lentils,3520,0,222,176,
crop_227,Lettuce,LETTUCE-HEAD,Lettuce,138,255,102,102,LETTUCE-HEAD; LETTUCE-LEAF; LETTUCE-ROMAINE
crop_209,Cantaloupes,MELONS-CANTALOUP,Cantaloupes,173,255,102,102,
crop_48,Watermelons,MELONS-WATERMELON,Watermelons,156,255,102,102,
crop_29,Millet,MILLET-PROSO,Millet,3780,115,0,76,
crop_35,Mustard,MUSTARD-ALL CLASSES,Mustard,251,0,175,77,
crop_218,Nectarines,NECTARINES-ALL CLASSES,Nectarines,400,255,145,171,
crop_28,Oats,OATS-ALL CLASSES,Oats,3890,161,88,137,
crop_211,Olives,OLIVES-ALL CLASSES,Olives,985,52,74,52,
crop_49,Onions,ONIONS-DRY,Onions,360,255,204,102,
crop_212,Oranges,ORANGES-ALL CLASSES,Oranges,343,230,117,37,
crop_67,Peaches,PEACHES-ALL CLASSES,Peaches,374,255,145,171,
crop_10,Peanuts,PEANUTS-ALL CLASSES,Peanuts,5670,112,168,0,
crop_77,Pears,PEARS-ALL CLASSES,Pears,513,179,156,112,
crop_53,Peas,PEAS-GREEN,Peas,1389,85,255,0,PEAS-GREEN; PEAS-DRY EDIBLE; PEAS-AUSTRIAN WINTER
crop_74,Pecans,PECANS-ALL CLASSES,Pecans,3662,182,112,92,
crop_216,Peppers,PEPPERS-CHILE,Peppers,292,255,102,102,
crop_204,Pistachios,PISTACHIOS-ALL CLASSES,Pistachios,2968,0,255,140,
crop_220,Plums,PLUMS-ALL CLASSES,Plums,432,255,145,171,
crop_43,Potatoes,POTATOES-ALL CLASSES,Potatoes,578,115,38,0,
crop_210,Prunes,PRUNES-ALL CLASSES,Prunes,2088,255,145,171,
crop_229,Pumpkins,PUMPKINS-ALL CLASSES,Pumpkins,182,255,102,102,
crop_246,Radishes,RADISHES-ALL CLASSES,Radishes,144,255,102,102,
crop_3,Rice,RICE-ALL CLASSES,Rice,3637,0,169,230,
crop_27,Rye,RYE-ALL CLASSES,Rye,3380,174,1,126,
crop_33,Safflower,SAFFLOWER-ALL CLASSES,Safflower,2637,214,214,0,
crop_4,Sorghum,SORGHUM-ALL CLASSES-GRAIN,Sorghum,3290,255,158,15,
crop_5,Soybeans,SOYBEANS-ALL CLASSES,Soybeans,4460,38,115,0,
crop_222,Squash,SQUASH-ALL CLASSES,Squash,210,255,102,102,
crop_221,Strawberries,STRAWBERRIES-ALL CLASSES,Strawberries,301,255,102,102,
crop_41,Sugarbeets,SUGARBEETS-ALL CLASSES,Sugarbeets,700,169,0,230,
crop_6,Sunflower,SUNFLOWER-ALL CLASSES,Sunflower,3154,255,255,0,
crop_12,Sweet Corn,SWEET CORN-ALL CLASSES,Sweet Corn,310,224,166,15,
crop_46,Sweet Potatoes,SWEET POTATOES-ALL CLASSES,Sweet Potatoes,619,115,38,0,
crop_54,Tomatoes,TOMATOES-ALL CLASSES,Tomatoes,187,245,162,122,
crop_76,Walnuts,WALNUTS-ENGLISH,Walnuts,2943,235,214,176,
crop_22,Winter Wheat,WHEAT-ALL CLASSES,Wheat,,168,112,0,crop_22; crop_23; crop_24
crop_72,Citrus,GRAPEFRUIT-ALL CLASSES,Citrus,,255,255,128,GRAPEFRUIT-ALL CLASSES; LEMONS-ALL CLASSES; TANGELOS-ALL CLASSES; TANGERINES-ALL CLASSES