SCD_NAME,Final Name,Final Category,,,,
ALMONDS-ALL CLASSES,Tree nuts,Nuts,,,,
APPLES-ALL CLASSES,Apples,Fruits,,,,
APRICOTS-ALL CLASSES,Stone fruits,Fruits,,,,
ARTICHOKES-ALL CLASSES ,drop,,,,,
ASPARAGUS-ALL CLASSES,drop,,,,,
AVOCADOS-ALL CLASSES,drop,,,,,
BARLEY-ALL CLASSES,Other grain,Grain,,,,
"BEANS-DRY EDIBLE, INCL CHICKPEAS",Legumes,Grain,,,,
BEANS-SNAP,drop,,,,,
BLUEBERRIES-TAME,Berries,Fruits,,,,
BOYSENBERRIES-ALL CLASSES,drop,,,,,
BROCCOLI-ALL CLASSES,Broccoli and cauliflower,Vegetables,,,,
BRUSSELS SPROUTS-ALL CLASSES,drop,,,,,
CABBAGE-ALL CLASSES,Cabbage,Vegetables,,,,
CANOLA-ALL CLASSES,drop,,,,,
CARROTS-ALL CLASSES,Carrots,Vegetables,,,,
CAULIFLOWER-ALL CLASSES,Broccoli and cauliflower,Vegetables,,,,
CELERY-ALL CLASSES,Celery,Vegetables,,,,
CHERRIES-SWEET,Stone fruits,Fruits,,,,
CORN-ALL CLASSES-GRAIN,Corn,Grain,,,,
COTTON-PIMA,drop,,,,,
COTTON-UPLAND ,drop,,,,,
CRANBERRIES-ALL CLASSES,Berries,Fruits,,,,
CUCUMBERS-ALL CLASSES,Cucumbers,Vegetables,,,,
DATES-ALL CLASSES,drop,,,,,
EGGPLANT-ALL CLASSES,drop,,,,,
ESCAROLE & ENDIVE-ALL CLASSES,drop,,,,,
FIGS-ALL CLASSES,drop,,,,,
FLAXSEED-ALL CLASSES,drop,,,,,
GARLIC-ALL CLASSES,drop,,,,,
GRAPEFRUIT-ALL CLASSES,Other citrus fruits,Fruits,,,,
GRAPES-ALL CLASSES,Grapes,Fruits,,,,
HAY-ALL CLASSES,drop,,,,,
HOPS-ALL CLASSES,drop,,,,,
KIWIFRUIT-ALL CLASSES,drop,,,,,
LEMONS-ALL CLASSES,Other citrus fruits,Fruits,,,,
LENTILS-ALL CLASSES,Legumes,Grain,,,,
LETTUCE-HEAD,Lettuce,Vegetables,,,,
LETTUCE-LEAF,Lettuce,Vegetables,,,,
LETTUCE-ROMAINE,Lettuce,Vegetables,,,,
MELONS-CANTALOUP,Melons,Fruits,,,,
MELONS-HONEYDEW,drop,,,,,
MELONS-WATERMELON,Melons,Fruits,,,,
MILLET-PROSO,drop,,,,,
MUSTARD-ALL CLASSES,drop,,,,,
NECTARINES-ALL CLASSES,Stone fruits,Fruits,,,,
OATS-ALL CLASSES,Oats,Grain,,,,
OLIVES-ALL CLASSES,drop,,,,,
ONIONS-DRY,Onions,Vegetables,,,,
ORANGES-ALL CLASSES,Oranges,Fruits,,,,
PEACHES-ALL CLASSES,Stone fruits,Fruits,,,,
PEANUTS-ALL CLASSES,Peanuts,Nuts,,,,
PEARS-ALL CLASSES,drop,,,,,
PEAS-AUSTRIAN WINTER,drop,,,,,
PEAS-DRY EDIBLE,drop,,,,,
PEAS-GREEN,Green peas,Vegetables,,,,
PECANS-ALL CLASSES,Tree nuts,Nuts,,,,
PEPPERS-BELL,drop,,,,,
PEPPERS-CHILE,Peppers,Vegetables,,,,
PISTACHIOS-ALL CLASSES,Tree nuts,Nuts,,,,
PLUMS-ALL CLASSES,Stone fruits,Fruits,,,,
POTATOES-ALL CLASSES,Potatoes,Potatoes,,,,
PRUNES-ALL CLASSES,drop,,,,,
PUMPKINS-ALL CLASSES,drop,,,,,
RADISHES-ALL CLASSES,Radishes,Vegetables,,,,
RASPBERRIES-ALL CLASSES,drop,,,,,
RICE-ALL CLASSES,Rice,Grain,,,,
RYE-ALL CLASSES,Other grain,Grain,,,,
SAFFLOWER-ALL CLASSES,drop,,,,,
SORGHUM-ALL CLASSES-GRAIN,drop,,,,,
SOYBEANS-ALL CLASSES,drop,,,,,
SQUASH-ALL CLASSES,drop,,,,,
STRAWBERRIES-ALL CLASSES,Berries,Fruits,,,,
SUGARBEETS-ALL CLASSES,drop,,,,,
SUNFLOWER-ALL CLASSES,drop,,,,,
SWEET CORN-ALL CLASSES,Sweet corn,Vegetables,,,,
SWEET POTATOES-ALL CLASSES,drop,,,,,
TANGELOS-ALL CLASSES,drop,,,,,
TANGERINES-ALL CLASSES,Other citrus fruits,Fruits,,,,
TOMATOES-ALL CLASSES,Tomatoes,,,,,
WALNUTS-ENGLISH,Tree nuts,Nuts,,,,
WHEAT-ALL CLASSES,Wheat,Grain,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,